Confined decaying MHD in a SPHERE, volume-penalised   CUDA twin
precision FP32   D3Q27 fluid + D3Q7 magnetic   operator CM
  N 96   R 38.40 (rfac 0.40)   Re 500   Pm 1.00   u0 0.0500
  nu 7.680000e-03   eta 7.680000e-03   magnetic wall: perfectly conducting (B.n = 0)
  eps 2.00 / 2.00   smooth 1.00   IC kmax 6  k0 4.0  seed 99
  one turnover 2R/u0 = 1536 steps; running 3072 (2.0 turnovers)

   step   t/Te      E_u        E_b      E_u/E_b   H_c    enstr     <j^2>    cos(J,B)  |<b>|    max|b|   dv/cl    Bn/B   B_sh   dmass
    1536  1.000  2.562e-05  8.287e-05    0.309  0.0178 4.538e-06 1.233e-05  -0.0842 6.51e-04 6.78e-02 3.60e-01  0.0008  1.073 -3.78e-09
    1548  1.008  2.520e-05  8.180e-05    0.308  0.0173 4.443e-06 1.209e-05  -0.0849 6.54e-04 6.68e-02 3.61e-01  0.0008  1.075 -3.88e-09
    1560  1.016  2.480e-05  8.075e-05    0.307  0.0169 4.351e-06 1.185e-05  -0.0854 6.57e-04 6.59e-02 3.62e-01  0.0008  1.076 -4.06e-09
    1572  1.023  2.440e-05  7.972e-05    0.306  0.0164 4.262e-06 1.162e-05  -0.0860 6.60e-04 6.50e-02 3.64e-01  0.0008  1.077 -3.90e-09
    1584  1.031  2.401e-05  7.871e-05    0.305  0.0160 4.175e-06 1.139e-05  -0.0866 6.63e-04 6.41e-02 3.65e-01  0.0008  1.078 -3.98e-09
    1596  1.039  2.364e-05  7.771e-05    0.304  0.0156 4.090e-06 1.117e-05  -0.0871 6.66e-04 6.32e-02 3.66e-01  0.0008  1.079 -3.67e-09
    1608  1.047  2.327e-05  7.674e-05    0.303  0.0152 4.008e-06 1.095e-05  -0.0876 6.69e-04 6.29e-02 3.67e-01  0.0008  1.080 -3.47e-09
    1620  1.055  2.291e-05  7.578e-05    0.302  0.0149 3.927e-06 1.074e-05  -0.0881 6.72e-04 6.25e-02 3.68e-01  0.0008  1.081 -3.44e-09
    1632  1.062  2.255e-05  7.484e-05    0.301  0.0146 3.849e-06 1.053e-05  -0.0886 6.74e-04 6.21e-02 3.70e-01  0.0008  1.082 -3.18e-09
    1644  1.070  2.221e-05  7.391e-05    0.301  0.0143 3.773e-06 1.033e-05  -0.0891 6.77e-04 6.16e-02 3.71e-01  0.0008  1.083 -3.40e-09
