Confined decaying MHD in a SPHERE, volume-penalised   CUDA twin
precision FP32   D3Q27 fluid + D3Q7 magnetic   operator CM
  N 128   R 51.20 (rfac 0.40)   Re 500   Pm 1.00   u0 0.0500
  nu 1.024000e-02   eta 1.024000e-02   magnetic wall: perfectly conducting (B.n = 0)
  eps 2.00 / 4.00   smooth 1.00   IC kmax 6  k0 4.0  seed 99
  one turnover 2R/u0 = 2048 steps; running 4096 (2.0 turnovers)

   step   t/Te      E_u        E_b      E_u/E_b   H_c    enstr     <j^2>    cos(J,B)  |<b>|    max|b|   dv/cl    Bn/B   B_sh   dmass
       0  0.000  1.250e-03  1.250e-03    1.000 -0.0000 5.231e-05 9.607e-05   0.0400 1.58e-12 1.29e-01 2.30e-07  0.5064  0.913  0.00e+00
    1360  0.664  5.557e-05  1.571e-04    0.354  0.0484 6.760e-06 1.755e-05  -0.0525 5.40e-04 1.19e-01 3.05e-01  0.0037  1.032 -5.06e-09
    1376  0.672  5.436e-05  1.544e-04    0.352  0.0481 6.574e-06 1.710e-05  -0.0543 5.44e-04 1.17e-01 3.07e-01  0.0037  1.034 -5.22e-09
    1392  0.680  5.318e-05  1.518e-04    0.350  0.0477 6.394e-06 1.666e-05  -0.0561 5.49e-04 1.15e-01 3.09e-01  0.0037  1.035 -5.25e-09
    1408  0.688  5.203e-05  1.493e-04    0.349  0.0473 6.219e-06 1.624e-05  -0.0579 5.53e-04 1.13e-01 3.10e-01  0.0037  1.037 -5.44e-09
    1424  0.695  5.091e-05  1.468e-04    0.347  0.0469 6.051e-06 1.583e-05  -0.0596 5.58e-04 1.11e-01 3.12e-01  0.0036  1.038 -5.37e-09
    1440  0.703  4.982e-05  1.444e-04    0.345  0.0465 5.887e-06 1.544e-05  -0.0612 5.62e-04 1.09e-01 3.13e-01  0.0036  1.040 -5.21e-09
    1456  0.711  4.877e-05  1.420e-04    0.343  0.0460 5.729e-06 1.505e-05  -0.0629 5.66e-04 1.07e-01 3.15e-01  0.0036  1.041 -5.49e-09
    1472  0.719  4.774e-05  1.397e-04    0.342  0.0455 5.576e-06 1.468e-05  -0.0645 5.70e-04 1.05e-01 3.16e-01  0.0036  1.042 -5.28e-09
    1488  0.727  4.674e-05  1.375e-04    0.340  0.0450 5.429e-06 1.433e-05  -0.0661 5.75e-04 1.03e-01 3.18e-01  0.0035  1.043 -5.30e-09
    1504  0.734  4.577e-05  1.353e-04    0.338  0.0444 5.286e-06 1.398e-05  -0.0676 5.79e-04 1.01e-01 3.19e-01  0.0035  1.045 -5.61e-09
    1520  0.742  4.482e-05  1.332e-04    0.337  0.0438 5.147e-06 1.365e-05  -0.0692 5.83e-04 9.89e-02 3.21e-01  0.0035  1.046 -5.17e-09
    1536  0.750  4.390e-05  1.311e-04    0.335  0.0433 5.013e-06 1.332e-05  -0.0707 5.87e-04 9.68e-02 3.22e-01  0.0035  1.047 -5.18e-09
    1552  0.758  4.301e-05  1.290e-04    0.333  0.0426 4.884e-06 1.301e-05  -0.0721 5.91e-04 9.52e-02 3.24e-01  0.0034  1.048 -5.26e-09
    1568  0.766  4.214e-05  1.270e-04    0.332  0.0420 4.759e-06 1.270e-05  -0.0735 5.95e-04 9.36e-02 3.25e-01  0.0034  1.049 -4.93e-09
    1584  0.773  4.129e-05  1.251e-04    0.330  0.0414 4.638e-06 1.241e-05  -0.0749 5.99e-04 9.21e-02 3.27e-01  0.0034  1.050 -4.98e-09
    1600  0.781  4.047e-05  1.232e-04    0.328  0.0407 4.521e-06 1.212e-05  -0.0763 6.03e-04 9.06e-02 3.28e-01  0.0034  1.052 -4.87e-09
    1616  0.789  3.967e-05  1.213e-04    0.327  0.0401 4.408e-06 1.185e-05  -0.0776 6.07e-04 8.91e-02 3.29e-01  0.0034  1.053 -5.09e-09
    1632  0.797  3.889e-05  1.195e-04    0.325  0.0394 4.298e-06 1.158e-05  -0.0789 6.10e-04 8.77e-02 3.31e-01  0.0034  1.054 -5.11e-09
    1648  0.805  3.813e-05  1.177e-04    0.324  0.0388 4.192e-06 1.132e-05  -0.0802 6.14e-04 8.67e-02 3.32e-01  0.0034  1.055 -5.01e-09
    1664  0.812  3.740e-05  1.160e-04    0.322  0.0381 4.090e-06 1.107e-05  -0.0814 6.18e-04 8.57e-02 3.33e-01  0.0033  1.056 -5.16e-09
    1680  0.820  3.668e-05  1.143e-04    0.321  0.0374 3.991e-06 1.082e-05  -0.0826 6.22e-04 8.47e-02 3.35e-01  0.0033  1.057 -5.10e-09
    1696  0.828  3.599e-05  1.126e-04    0.320  0.0368 3.895e-06 1.058e-05  -0.0837 6.25e-04 8.38e-02 3.36e-01  0.0033  1.058 -5.08e-09
    1712  0.836  3.531e-05  1.110e-04    0.318  0.0361 3.803e-06 1.035e-05  -0.0849 6.29e-04 8.28e-02 3.37e-01  0.0033  1.059 -4.95e-09
    1728  0.844  3.465e-05  1.094e-04    0.317  0.0354 3.713e-06 1.013e-05  -0.0860 6.33e-04 8.19e-02 3.39e-01  0.0033  1.060 -4.57e-09
    1744  0.852  3.401e-05  1.078e-04    0.315  0.0348 3.626e-06 9.911e-06  -0.0871 6.36e-04 8.09e-02 3.40e-01  0.0033  1.061 -4.59e-09
    1760  0.859  3.339e-05  1.063e-04    0.314  0.0341 3.542e-06 9.699e-06  -0.0881 6.40e-04 8.00e-02 3.41e-01  0.0032  1.062 -4.53e-09
    1776  0.867  3.278e-05  1.048e-04    0.313  0.0335 3.461e-06 9.493e-06  -0.0891 6.43e-04 7.91e-02 3.43e-01  0.0032  1.062 -4.64e-09
    1792  0.875  3.219e-05  1.033e-04    0.312  0.0328 3.382e-06 9.293e-06  -0.0901 6.47e-04 7.81e-02 3.44e-01  0.0032  1.063 -4.47e-09
    1808  0.883  3.162e-05  1.019e-04    0.310  0.0322 3.306e-06 9.098e-06  -0.0910 6.50e-04 7.72e-02 3.45e-01  0.0032  1.064 -4.71e-09
    1824  0.891  3.106e-05  1.004e-04    0.309  0.0316 3.232e-06 8.908e-06  -0.0920 6.53e-04 7.63e-02 3.46e-01  0.0031  1.065 -4.34e-09
    1840  0.898  3.051e-05  9.906e-05    0.308  0.0309 3.160e-06 8.723e-06  -0.0928 6.57e-04 7.54e-02 3.48e-01  0.0031  1.066 -4.40e-09
    1856  0.906  2.998e-05  9.770e-05    0.307  0.0303 3.091e-06 8.544e-06  -0.0937 6.60e-04 7.44e-02 3.49e-01  0.0031  1.067 -4.12e-09
    1872  0.914  2.947e-05  9.636e-05    0.306  0.0298 3.023e-06 8.368e-06  -0.0945 6.63e-04 7.35e-02 3.50e-01  0.0031  1.068 -4.07e-09
    1888  0.922  2.896e-05  9.506e-05    0.305  0.0292 2.958e-06 8.198e-06  -0.0954 6.66e-04 7.26e-02 3.51e-01  0.0031  1.069 -4.10e-09
    1904  0.930  2.847e-05  9.377e-05    0.304  0.0286 2.894e-06 8.032e-06  -0.0961 6.70e-04 7.17e-02 3.53e-01  0.0030  1.070 -3.83e-09
    1920  0.938  2.800e-05  9.252e-05    0.303  0.0281 2.833e-06 7.870e-06  -0.0969 6.73e-04 7.08e-02 3.54e-01  0.0030  1.071 -3.76e-09
    1936  0.945  2.753e-05  9.128e-05    0.302  0.0275 2.773e-06 7.712e-06  -0.0976 6.76e-04 6.99e-02 3.55e-01  0.0030  1.071 -3.96e-09
    1952  0.953  2.708e-05  9.007e-05    0.301  0.0270 2.715e-06 7.558e-06  -0.0983 6.79e-04 6.89e-02 3.56e-01  0.0030  1.072 -3.62e-09
    1968  0.961  2.664e-05  8.888e-05    0.300  0.0265 2.658e-06 7.408e-06  -0.0990 6.82e-04 6.80e-02 3.57e-01  0.0030  1.073 -3.74e-09
    1984  0.969  2.620e-05  8.772e-05    0.299  0.0261 2.604e-06 7.262e-06  -0.0997 6.85e-04 6.71e-02 3.59e-01  0.0030  1.074 -3.61e-09
    2000  0.977  2.578e-05  8.658e-05    0.298  0.0256 2.550e-06 7.119e-06  -0.1003 6.88e-04 6.62e-02 3.60e-01  0.0029  1.075 -3.51e-09
    2016  0.984  2.537e-05  8.545e-05    0.297  0.0252 2.498e-06 6.980e-06  -0.1009 6.91e-04 6.54e-02 3.61e-01  0.0029  1.076 -3.50e-09
    2032  0.992  2.497e-05  8.435e-05    0.296  0.0248 2.448e-06 6.844e-06  -0.1015 6.94e-04 6.46e-02 3.62e-01  0.0029  1.077 -3.43e-09
    2048  1.000  2.458e-05  8.327e-05    0.295  0.0244 2.399e-06 6.712e-06  -0.1020 6.97e-04 6.38e-02 3.63e-01  0.0029  1.078 -3.25e-09
    2064  1.008  2.420e-05  8.221e-05    0.294  0.0240 2.351e-06 6.582e-06  -0.1026 7.00e-04 6.30e-02 3.64e-01  0.0029  1.078 -3.20e-09
    2080  1.016  2.382e-05  8.116e-05    0.294  0.0236 2.304e-06 6.456e-06  -0.1031 7.03e-04 6.23e-02 3.66e-01  0.0029  1.079 -3.56e-09
    2096  1.023  2.346e-05  8.014e-05    0.293  0.0233 2.259e-06 6.333e-06  -0.1036 7.05e-04 6.15e-02 3.67e-01  0.0029  1.080 -3.43e-09
    2112  1.031  2.310e-05  7.914e-05    0.292  0.0229 2.215e-06 6.213e-06  -0.1041 7.08e-04 6.08e-02 3.68e-01  0.0029  1.081 -3.65e-09
    2128  1.039  2.276e-05  7.815e-05    0.291  0.0226 2.172e-06 6.095e-06  -0.1045 7.11e-04 6.00e-02 3.69e-01  0.0029  1.082 -3.75e-09
    2144  1.047  2.242e-05  7.718e-05    0.290  0.0223 2.130e-06 5.981e-06  -0.1050 7.14e-04 5.93e-02 3.70e-01  0.0029  1.083 -3.72e-09
