# step t/Te E_u E_b ratio H_c enstrophy j2 cosJB bmean bmax divb BnB Bshell dmass
1600 1.041667 2.34965283e-05 7.74816590e-05 0.303253 0.016175 4.059661e-06 1.110084e-05 -0.088299 6.676996e-04 6.293683e-02 3.663781e-01 0.000797 1.081884 1.793146e-06
1616 1.052083 2.30103984e-05 7.61935198e-05 0.301999 0.015710 3.951186e-06 1.081595e-05 -0.088986 6.715198e-04 6.242096e-02 3.680143e-01 0.000793 1.083379 1.789735e-06
1632 1.062500 2.25391548e-05 7.49362830e-05 0.300778 0.015279 3.846472e-06 1.053989e-05 -0.089643 6.752992e-04 6.187586e-02 3.696475e-01 0.000785 1.084863 1.786029e-06
1648 1.072917 2.20821808e-05 7.37090830e-05 0.299586 0.014883 3.745355e-06 1.027238e-05 -0.090273 6.790386e-04 6.130202e-02 3.712771e-01 0.000778 1.086337 1.782041e-06
1664 1.083333 2.16388853e-05 7.25110768e-05 0.298422 0.014519 3.647675e-06 1.001312e-05 -0.090876 6.827385e-04 6.071987e-02 3.729028e-01 0.000774 1.087800 1.777841e-06
1680 1.093750 2.12087034e-05 7.13414422e-05 0.297284 0.014187 3.553285e-06 9.761863e-06 -0.091455 6.863997e-04 6.034217e-02 3.745240e-01 0.000768 1.089252 1.773491e-06
1696 1.104167 2.07910957e-05 7.01993816e-05 0.296172 0.013885 3.462041e-06 9.518326e-06 -0.092010 6.900228e-04 5.992804e-02 3.761401e-01 0.000769 1.090693 1.769007e-06
1712 1.114583 2.03855483e-05 6.90841274e-05 0.295083 0.013612 3.373810e-06 9.282262e-06 -0.092544 6.936086e-04 5.947836e-02 3.777508e-01 0.000770 1.092124 1.764359e-06
1728 1.125000 1.99915710e-05 6.79949427e-05 0.294016 0.013367 3.288465e-06 9.053428e-06 -0.093059 6.971576e-04 5.899427e-02 3.793553e-01 0.000757 1.093544 1.759512e-06
1744 1.135417 1.96086957e-05 6.69311156e-05 0.292968 0.013148 3.205885e-06 8.831589e-06 -0.093555 7.006704e-04 5.847718e-02 3.809532e-01 0.000747 1.094955 1.754472e-06
1760 1.145833 1.92364747e-05 6.58919532e-05 0.291940 0.012953 3.125954e-06 8.616520e-06 -0.094035 7.041478e-04 5.792872e-02 3.825437e-01 0.000741 1.096356 1.749281e-06
1776 1.156250 1.88744808e-05 6.48767796e-05 0.290928 0.012782 3.048562e-06 8.408001e-06 -0.094500 7.075903e-04 5.735069e-02 3.841264e-01 0.000736 1.097746 1.743983e-06
1792 1.166667 1.85223071e-05 6.38849377e-05 0.289932 0.012632 2.973605e-06 8.205819e-06 -0.094952 7.109985e-04 5.674506e-02 3.857007e-01 0.000732 1.099125 1.738593e-06
1808 1.177083 1.81795663e-05 6.29157920e-05 0.288951 0.012501 2.900984e-06 8.009770e-06 -0.095393 7.143732e-04 5.611386e-02 3.872660e-01 0.000729 1.100493 1.733096e-06
1824 1.187500 1.78458898e-05 6.19687292e-05 0.287982 0.012389 2.830604e-06 7.819653e-06 -0.095824 7.177149e-04 5.545923e-02 3.888218e-01 0.000726 1.101851 1.727473e-06
1840 1.197917 1.75209264e-05 6.10431558e-05 0.287025 0.012294 2.762376e-06 7.635279e-06 -0.096246 7.210241e-04 5.480983e-02 3.903675e-01 0.000723 1.103200 1.721724e-06
1856 1.208333 1.72043413e-05 6.01384939e-05 0.286079 0.012214 2.696214e-06 7.456459e-06 -0.096661 7.243015e-04 5.443499e-02 3.919025e-01 0.000719 1.104540 1.715873e-06
1872 1.218750 1.68958157e-05 5.92541800e-05 0.285141 0.012147 2.632036e-06 7.283015e-06 -0.097070 7.275477e-04 5.403231e-02 3.934264e-01 0.000716 1.105871 1.709950e-06
1888 1.229167 1.65950464e-05 5.83896654e-05 0.284212 0.012093 2.569766e-06 7.114769e-06 -0.097475 7.307632e-04 5.360349e-02 3.949386e-01 0.000712 1.107191 1.703971e-06
1904 1.239583 1.63017453e-05 5.75444176e-05 0.283290 0.012049 2.509329e-06 6.951554e-06 -0.097877 7.339487e-04 5.315028e-02 3.964387e-01 0.000709 1.108501 1.697929e-06
1920 1.250000 1.60156386e-05 5.67179213e-05 0.282374 0.012015 2.450656e-06 6.793202e-06 -0.098277 7.371045e-04 5.267449e-02 3.979262e-01 0.000707 1.109798 1.691811e-06
1936 1.260417 1.57364663e-05 5.59096768e-05 0.281462 0.011989 2.393679e-06 6.639557e-06 -0.098676 7.402314e-04 5.217793e-02 3.994007e-01 0.000705 1.111083 1.685616e-06
1952 1.270833 1.54639807e-05 5.51191978e-05 0.280555 0.011969 2.338335e-06 6.490462e-06 -0.099076 7.433298e-04 5.166246e-02 4.008617e-01 0.000704 1.112355 1.679360e-06
1968 1.281250 1.51979465e-05 5.43460101e-05 0.279652 0.011955 2.284564e-06 6.345769e-06 -0.099477 7.464003e-04 5.112988e-02 4.023090e-01 0.000707 1.113615 1.673062e-06
1984 1.291667 1.49381398e-05 5.35896517e-05 0.278750 0.011946 2.232307e-06 6.205333e-06 -0.099880 7.494433e-04 5.058201e-02 4.037421e-01 0.000703 1.114863 1.666734e-06
2000 1.302083 1.46843484e-05 5.28496738e-05 0.277851 0.011940 2.181509e-06 6.069011e-06 -0.100286 7.524594e-04 5.002062e-02 4.051607e-01 0.000702 1.116099 1.660374e-06
2016 1.312500 1.44363706e-05 5.21256411e-05 0.276953 0.011936 2.132119e-06 5.936668e-06 -0.100696 7.554491e-04 4.944746e-02 4.065646e-01 0.000700 1.117324 1.653976e-06
