# step t/Te E_u E_b ratio H_c enstrophy j2 cosJB bmean bmax divb BnB Bshell dmass
1824 1.187500 1.21660560e-05 2.88224126e-05 0.422104 -0.055749 1.548209e-06 3.799598e-06 -0.058408 1.977323e-03 3.158985e-02 3.854303e-01 0.288390 0.002351 -1.586168e-07
1840 1.197917 1.19185921e-05 2.83463874e-05 0.420462 -0.056363 1.508397e-06 3.700754e-06 -0.059807 1.974914e-03 3.112863e-02 3.869296e-01 0.288869 0.002332 -1.533007e-07
1856 1.208333 1.16775917e-05 2.78820999e-05 0.418820 -0.056951 1.469822e-06 3.605028e-06 -0.061222 1.972461e-03 3.065943e-02 3.884285e-01 0.289326 0.002314 -1.481586e-07
1872 1.218750 1.14428310e-05 2.74292098e-05 0.417177 -0.057512 1.432436e-06 3.512312e-06 -0.062655 1.969967e-03 3.018287e-02 3.899266e-01 0.289769 0.002295 -1.431439e-07
1888 1.229167 1.12140960e-05 2.69873883e-05 0.415531 -0.058049 1.396194e-06 3.422503e-06 -0.064106 1.967431e-03 2.969965e-02 3.914233e-01 0.290212 0.002277 -1.382300e-07
1904 1.239583 1.09911825e-05 2.65563202e-05 0.413882 -0.058564 1.361053e-06 3.335501e-06 -0.065574 1.964856e-03 2.921049e-02 3.929179e-01 0.290650 0.002259 -1.334273e-07
1920 1.250000 1.07738952e-05 2.61357014e-05 0.412229 -0.059058 1.326972e-06 3.251213e-06 -0.067060 1.962242e-03 2.871619e-02 3.944099e-01 0.291081 0.002241 -1.287648e-07
1936 1.260417 1.05620474e-05 2.57252372e-05 0.410571 -0.059533 1.293913e-06 3.169546e-06 -0.068565 1.959591e-03 2.822395e-02 3.958987e-01 0.291509 0.002224 -1.242576e-07
1952 1.270833 1.03554604e-05 2.53246395e-05 0.408909 -0.059990 1.261837e-06 3.090414e-06 -0.070088 1.956903e-03 2.776164e-02 3.973835e-01 0.291932 0.002206 -1.198921e-07
1968 1.281250 1.01539634e-05 2.49336275e-05 0.407240 -0.060429 1.230710e-06 3.013731e-06 -0.071629 1.954180e-03 2.729721e-02 3.988639e-01 0.292339 0.002189 -1.156387e-07
1984 1.291667 9.95739316e-06 2.45519286e-05 0.405565 -0.060854 1.200499e-06 2.939414e-06 -0.073188 1.951423e-03 2.683110e-02 4.003391e-01 0.292731 0.002172 -1.114769e-07
